"Browser","Id","Name"
"Chrome","ljglajjnnkapghbckkcmodicjhacbfhk","Before you continue"
"Chrome","haiffjcadagjlijoggckpgfnoeiflnem","Before you continue"
"Chrome","nngceckbapebfimnlniiiahkandclblb","Before you continue"
"Chrome","lnpjlfpkfacbbmmbfjkclpfliinekkhc","Before you continue"
"Chrome","eejfoncpjfgmeleakejdcanedmefagga","Before you continue"
"Chrome","ldibdoepbjbkkcbgndfljnphngpglhbb","Before you continue"
"Chrome","hdokiejnpimakedhajhdlcegeplioahd","Before you continue"
"Chrome","eiaeiblijfjekdanodkjadfinkhbfgcd","Before you continue"
"Chrome","lapmgejioldofnecdomcdgblbiffefhb","Before you continue"
"Chrome","kpmedpgagnidddimmioekjdhfllmdfia","Before you continue"
"Chrome","llllflgakifpdcmoanonghipldcpaggn","Before you continue"
"Chrome","aapbdbdomjkkjkaonfhkkikfgjllcleb","Before you continue"
"Chrome","iiipkionnkhdcficbbpionjlfmnjgnlg","Before you continue"
"Chrome","hehijbfgiekmjfkfjpbkbammjbdenadd","Before you continue"
"Chrome","blgipgnbmnikbdecnjmgckmndlkebhid","Before you continue"
"Chrome","elhmfakncmnghlnabnolalcjkdpfjnin","Before you continue"
"Chrome","ppnbnpeolgkicgegkbkbjmhlideopiji","Before you continue"
"Chrome","oomoeacogjkolheacgdkkkhbjipaomkn","Before you continue"
"Chrome","aiklnipojbnbfecoahgjhalomnmhjefi","Before you continue"
"Chrome","gjalhnomhafafofonpdihihjnbafkipc","Before you continue"
"Chrome","aeblfdkhhhdcdjpifhhbdiojplfjncoa","Before you continue"
"Chrome","ddkjiahejlhfcafbddmgiahcphecmpfh","Before you continue"
"Chrome","ponfpcnoihfmfllpaingbgckeeldkhle","Before you continue"
"Chrome","eimadpbcbfnmbkopoojfekhnkhdbieeh","Before you continue"
"Chrome","pnjaodmkngahhkoihejjehlcdlnohgmp","Before you continue"
"Chrome","mbjoejbgakiicfllhcdilppjkmmicnch","Before you continue"
"Chrome","bcjindcccaagfpapjjmafapmmgkkhgoa","Before you continue"
"Chrome","bbiljflfafkaejgdebbnmcohpidgkejj","Before you continue"
"Chrome","gighmmpiobklfepjocnamgkkbiglidom","Before you continue"
"Chrome","bplknlhkgiifolhkkakimondjknbffnp","Before you continue"
"Chrome","kgjfgplpablkjnlkjmjdecgdpfankdle","Before you continue"
"Chrome","dbdlmgpfijccjgnnpacnamgdfmljoeee","Before you continue"
"Chrome","fhnepndegjceafapejdmimhkaipbdkdo","Before you continue"
"Chrome","eipdnjedkpcnlmmdfdkgfpljanehloah","Before you continue"
"Chrome","fdjamakpfbbddfjaooikfcpapjohcfmg","Before you continue"
"Chrome","clngdbkpkpeebahjckkjfobafhncgmne","Before you continue"
"Chrome","nicmgkdfjeohcjkeeafghpafmkhpomdo","Before you continue"
"Chrome","eahlmagcgafncnofhlkdfgmjdkkeephk","Before you continue"
"Chrome","bapjjkngobbamfijnkfcboaipbdlnbie","Before you continue"
"Chrome","focghhgffaabcmjkmllmflgfhogpcdph","Before you continue"
"Chrome","fokjmhmlakeamckboogadojiadmijnac","Before you continue"
"Chrome","echcggldkblhodogklpincgchnpgcdco","Before you continue"
"Edge","dppgmdbiimibapkepcbdbmkaabgiofem","1Password – Password Manager - Microsoft Edge Add-ons"
"Edge","ndcileolkflehcjpmjnfbnaibdcgglog","AdBlock — block ads across the web - Microsoft Edge Add-ons"
"Edge","ocglkepbibnalbgmbachknglpdipeoio","Authenticator: 2FA Client - Microsoft Edge Add-ons"
"Edge","jbkfoedolllekgbhcbcoahefnbanhhlh","Bitwarden Password Manager - Microsoft Edge Add-ons"
"Edge","bhmdjpobkcdcompmlhiigoidknlgghfo","Boomerang - SOAP & REST Client - Microsoft Edge Add-ons"
"Edge","ikdddppdhmjcdfgilpnbkdeggoiicjgo","Cisco Webex Extension - Microsoft Edge Add-ons"
"Edge","pmdpflpcmcomdkocbehamllbfkdgnalf","Citrix Web Extension - Microsoft Edge Add-ons"
"Edge","mglacnlajlljleehldnkmbfhjdjmaomb","ClickLearn Assist - Microsoft Edge Add-ons"
"Edge","hpjglmmmlghioncgkbfnajmmibgdmolh","ClickLearn Authoring Tools - Microsoft Edge Add-ons"
"Edge","glfnkokmpphdldkdlbhmlnekdlgiomfd","ClickLearn Connector - Microsoft Edge Add-ons"
"Edge","adecippfalndnefjhdnikmmoegjnnbnb","ClickLearn UXP - Microsoft Edge Add-ons"
"Edge","ifoakfbpdcdoeenechcleahebpibofpc","Dark Reader - Microsoft Edge Add-ons"
"Edge","gehmmocbbkpblljhkekmfhjpfbkclbph","Dashlane — Password Manager - Microsoft Edge Add-ons"
"Edge","dlgfaleeejmphhnemjgiaekdbonkagkd","Enhancer for YouTube™ - Microsoft Edge Add-ons"
"Edge","jlkhefogiiibhgblliimeleiiiijbkjj","Feeder - RSS Feed Reader - Microsoft Edge Add-ons"
"Edge","npjkkakdacjaihjaoeliacmecofghagh","IE Tab - Microsoft Edge Add-ons"
"Edge","bbcinlkgjjkejfdpemiealijmmooekmp","LastPass: Free Password Manager - Microsoft Edge Add-ons"
"Edge","focghhgffaabcmjkmllmflgfhogpcdph","Microsoft Edge Add-ons"
"Edge","ofefcgjbeghpigppfmkologfjadafddi","Microsoft Edge Add-ons"
"Edge","clngdbkpkpeebahjckkjfobafhncgmne","Microsoft Edge Add-ons"
"Edge","lnpjlfpkfacbbmmbfjkclpfliinekkhc","Microsoft Edge Add-ons"
"Edge","gjalhnomhafafofonpdihihjnbafkipc","Microsoft Edge Add-ons"
"Edge","bplknlhkgiifolhkkakimondjknbffnp","Microsoft Edge Add-ons"
"Edge","mbjoejbgakiicfllhcdilppjkmmicnch","Microsoft Edge Add-ons"
"Edge","fhnepndegjceafapejdmimhkaipbdkdo","Microsoft Edge Add-ons"
"Edge","bcjindcccaagfpapjjmafapmmgkkhgoa","Microsoft Edge Add-ons"
"Edge","ppnbnpeolgkicgegkbkbjmhlideopiji","Microsoft Edge Add-ons"
"Edge","kpmedpgagnidddimmioekjdhfllmdfia","Microsoft Edge Add-ons"
"Edge","lapmgejioldofnecdomcdgblbiffefhb","Microsoft Edge Add-ons"
"Edge","aiklnipojbnbfecoahgjhalomnmhjefi","Microsoft Edge Add-ons"
"Edge","bbiljflfafkaejgdebbnmcohpidgkejj","Microsoft Edge Add-ons"
"Edge","eiaeiblijfjekdanodkjadfinkhbfgcd","Microsoft Edge Add-ons"
"Edge","kagpabjoboikccfdghpdlaaopmgpgfdc","Microsoft Power Automate - Microsoft Edge Add-ons"
"Edge","lcmcgbabdcbngcbcfabdncmoppkajglo","Microsoft Purview Extension - Microsoft Edge Add-ons"
"Edge","djmbpijobamaimdblhkpclfnpkiogeoo","PDF-XChange - Microsoft Edge Add-ons"
"Edge","njgfodfjcdjpfkpbpldhpalbbdfbcmfi","RESTer - Microsoft Edge Add-ons"
"Edge","cdcepkaoihgaaiidecpfkgpkigbibcee","Simple Translator, Dictionary, TTS - Microsoft Edge Add-ons"
"Edge","bicjibdndeejemialpbohjpiimehbapb","Tab Auto Refresh - Microsoft Edge Add-ons"
"Edge","dlmffppdphadfmicefckcdnpaokpdmbm","TrendAI™ Toolbar for Enterprise - Microsoft Edge Add-ons"
"Edge","cimighlppcgcoapaliogpjjdehbnofhn","uBlock Origin Lite - Microsoft Edge Add-ons"
"Edge","jklagmeecneibgbmbffefehjhijamhhj","Zoom Edge Extension - Microsoft Edge Add-ons"
"Firefox","{d634138d-c276-4fc8-924b-40a0ea21d284}","1Password: Password Manager"
"Firefox","jid1-NIfFY2CA8fy1tg@jetpack","AdBlock for Firefox"
"Firefox","{446900e4-71c2-419f-a6a7-df9c091e268b}","Bitwarden Password Manager"
"Firefox","ciscowebexstart1@cisco.com","Cisco Webex Extension"
"Firefox","addon@darkreader.org","Dark Reader"
"Firefox","jetpack-extension@dashlane.com","Dashlane Password Manager"
"Firefox","support@lastpass.com","LastPass Password Manager"
"Firefox","ms.pad.firefox@microsoft.com","Microsoft Power Automate"
"Firefox","nordpassStandalone@nordsecurity.com","NordPass® Password Manager & Digital Vault"
"Firefox","rester@kuehle.me","RESTer"
"Firefox","{7a7a4a92-a2a0-41d1-9fd7-1e92480d612d}","Stylus"
"Firefox","{7fee47a1-8299-4576-90bf-5fd88d756926}","Tab Auto Refresh"
"Firefox","uBlock0@raymondhill.net","uBlock Origin"
"Firefox","{bf855ead-d7c3-4c7b-9f88-9a7e75c0efdf}","Zoom Extension"
